Gene.Name,Group4,Group1,Group4.1,Group4.2,Group1.1,Group4.3,Group4.4,Group1.2,Group4.5,Group1.3,Group1.4,Group1.5,Group4.6,Group4.7,Group4.8,Group1.6,Group1.8,Group1.9,Group1.10,Group4.9,Group1.11,Group4.10,Group1.12,Group4.11,Group1.13,Group1.14,Group1.15,Group1.16,Group1.17,Group1.18,Group4.12,Group1.19,Group4.13,Group1.20,Group4.14,Group1.21,Group4.15,Group4.16,Group4.17,Group4.18,Group1.22,Group1.23,Group1.24,Group1.25,Group1.26,Group1.27,Group4.19,Group1.28,Group1.29,Group4.20,Group1.30,Group4.21
ITGA1,39474637.34,0,0,0,0,0,0,0,0,0,0,0,0,1325398.271,0,773454.035,2131808.282,1016518.213,0,0,0,129662.5818,0,2797707.529,0,0,0,0,918037.109,2736547.911,1754647.856,1361208.961,1108014.445,1573999.036,5129012.261,2594730.848,3141934.375,1552308.381,4195600.015,0,0,1543326.377,3269550.871,1247974.182,1135872.029,2503990.538,722117.9939,0,2352587.872,1916337.81,1517223.567,524893.3733
KRT34,0,152819.9066,197196.1414,183086.4696,0,249472.3554,0,574093.424,358476.5893,0,0,217424.0033,1594276.143,363050.1387,319166.907,0,235827.9146,752918.111,0,462079.5196,0,0,0,0,0,0,199743.9992,422211.3272,0,0,208609.6189,0,0,221033.6928,0,0,0,0,0,0,366473.8283,535859.1773,895381.6511,223170.3834,0,0,0,0,0,599756.1003,0,0
SH3BGRL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7057123.578,0,0,0,0,0,0,0,0,0,0,0,3696349.493,0,0,0,0,0,0,0,2821967.469,0,4712769.346,2435624.775,0
SSC5D,0,0,887805.4775,0,0,1457597.36,0,0,0,999935.8078,0,0,0,1062680.253,2165468.392,0,0,1797956.766,1985562.158,0,0,0,2121477.797,0,2336253.215,1831297.775,1604293.035,1325449.833,0,0,0,0,668060.1647,0,0,2218668.444,0,0,798077.2515,2038478.055,0,0,0,796751.5105,965347.3023,1574199.965,1910587.794,1378173.307,5250879.838,3891342.491,2798439.954,1990607.004
ALDH2,0,1017033.697,0,0,740049.6855,0,0,0,0,782061.0752,0,0,0,0,0,1004210.951,0,0,0,1043353.625,907726.6026,0,0,0,0,0,0,0,0,0,1147383.427,0,0,0,873329.8924,0,0,0,0,0,0,0,0,0,0,0,3235340.814,0,0,0,0,1298392.501
ZFYVE27,71308048.27,59882652.41,69358541.62,21795734.24,47109165.85,99354620.35,85364683.87,9135691.765,44384156.82,34044193.43,173964441.2,110299920.1,131903048.6,137046571.7,32088883.22,30187720.69,18911780.55,92665481.81,55314607.96,9649689.471,20196202.98,30301364.85,207279812.2,132342830.8,58723436.91,53471397.17,77181454.42,89760458.16,16690799.88,59615615.23,17795536.33,20588505.25,30530529.96,54850708.77,14663082.52,60392552.64,25796658.46,52175782.66,87335466.51,64290581.02,2246033.661,7354943.701,23486080.07,38229097.34,162055954.4,219762510.9,106889338.8,64397501.8,146199058.6,73017613.49,209246389.6,114661932.1
ATP5PO,0,0,0,0,0,0,0,0,0,0,1694966.462,0,0,0,0,0,0,1234030.743,0,0,0,0,0,0,0,0,0,2493151.052,0,0,0,0,0,0,0,0,0,0,0,1456498.847,0,0,0,0,0,1992177.773,0,0,0,0,2381555.923,1440035.721
PLSCR1,0,0,0,0,0,0,0,0,0,821863.9331,1931948.848,1032389.593,1923654.256,1192303.499,0,0,1893883.657,0,10353171.09,5567271.924,0,0,3618955.251,3238355.19,4317206.315,5238291.674,1897729.001,9793276.901,0,0,0,0,0,0,0,1144303.057,0,0,1966605.73,1292612.223,0,0,0,1176829.523,2213737.504,55312274.52,1231581.723,2324734.817,4289097.992,0,3755308.832,1803042.934
NUP188,1865502.607,0,0,0,0,2395194.043,0,0,0,0,2464283.422,0,0,1391437.972,0,0,0,5217661.916,0,0,0,0,5667795.868,6009878.172,782105.2583,1818794.418,0,7219730.678,801636.0893,873712.3216,0,0,0,0,0,1383586.265,0,0,1900591.555,1684417.798,0,0,0,0,1666301.963,1870708.958,1107969.856,0,1675427.618,3525625.573,16226691.86,3200655.809
PTPN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
